StartDate,StartTime,Cage,In_g
10/6/2020,9:29:34 PM,3,0.011
10/6/2020,9:39:02 PM,3,0.002
10/6/2020,9:47:47 PM,3,0.004
10/6/2020,10:05:50 PM,3,0.011
10/6/2020,10:35:43 PM,3,0.018
10/6/2020,10:53:40 PM,3,0.016
10/6/2020,11:07:13 PM,3,0.014
10/6/2020,11:12:34 PM,3,0.007
10/6/2020,11:20:32 PM,3,0.013
10/6/2020,11:53:17 PM,3,0.006
10/7/2020,12:01:31 AM,3,0.007
10/7/2020,7:00:28 AM,3,0.178
10/7/2020,7:24:41 AM,3,0.412
10/7/2020,8:02:38 AM,3,0.392
10/7/2020,9:15:06 AM,3,0.311
10/7/2020,9:35:10 AM,3,0.48
10/7/2020,10:34:33 AM,3,0.42
10/7/2020,12:43:53 PM,3,0.383
10/7/2020,2:55:14 PM,3,0.847
10/7/2020,3:17:36 PM,3,0.01
10/7/2020,4:58:44 PM,3,0.063
10/7/2020,5:10:26 PM,3,0.626
10/7/2020,5:28:32 PM,3,0.242
10/7/2020,5:53:10 PM,3,0.01
10/7/2020,6:11:07 PM,3,0.056
10/7/2020,6:20:42 PM,3,0.025
10/7/2020,7:17:06 PM,3,0.002
10/7/2020,7:36:40 PM,3,0.369
10/7/2020,9:52:00 PM,3,0.251
10/7/2020,10:14:20 PM,3,0.163
10/7/2020,10:25:09 PM,3,0.083
10/7/2020,10:29:17 PM,3,0.049
10/7/2020,11:16:41 PM,3,0.202
10/7/2020,11:29:30 PM,3,0.222
10/7/2020,11:46:09 PM,3,0.005
10/8/2020,12:55:07 AM,3,0.161
10/8/2020,1:58:49 AM,3,0.209
10/8/2020,2:58:17 AM,3,0.208
10/8/2020,3:24:57 AM,3,0.21
10/8/2020,3:46:38 AM,3,0.007
10/8/2020,4:03:13 AM,3,0.358
10/8/2020,4:32:44 AM,3,0.005
10/8/2020,4:58:23 AM,3,0.011
10/8/2020,11:28:08 AM,3,0.001
10/8/2020,1:52:16 PM,3,0.006
10/8/2020,2:46:53 PM,3,0.003
10/8/2020,2:56:14 PM,3,0.002
10/8/2020,3:24:13 PM,3,0.004
10/8/2020,9:59:46 PM,3,0.011
10/8/2020,10:55:14 PM,3,0.005
10/8/2020,11:23:48 PM,3,0.008
10/9/2020,12:17:01 AM,3,0.01
10/9/2020,1:19:06 AM,3,0.004
10/9/2020,1:35:15 AM,3,0.008
10/9/2020,1:43:55 AM,3,0.007
10/9/2020,5:20:58 AM,3,0.016
10/9/2020,5:56:38 AM,3,0.006
10/9/2020,8:11:36 AM,3,0.556
10/9/2020,9:41:51 AM,3,0.16
10/9/2020,10:48:29 AM,3,0.927
10/9/2020,11:13:27 AM,3,0.212
10/9/2020,12:53:58 PM,3,0.185
10/9/2020,1:46:06 PM,3,0.374
10/9/2020,2:11:36 PM,3,0.138
10/9/2020,3:26:13 PM,3,0.176
10/9/2020,3:51:29 PM,3,0.002
10/9/2020,4:30:48 PM,3,0.031
10/9/2020,4:51:15 PM,3,0.325
10/9/2020,5:09:40 PM,3,0.11
10/9/2020,5:56:26 PM,3,0.004
10/9/2020,6:29:49 PM,3,0.004
10/9/2020,6:46:22 PM,3,0.009
10/9/2020,7:33:23 PM,3,0.38
10/9/2020,7:55:34 PM,3,0.007
10/9/2020,8:08:26 PM,3,0.199
10/9/2020,9:17:34 PM,3,0.006
10/9/2020,10:30:19 PM,3,0.291
10/9/2020,10:57:00 PM,3,0.324
10/9/2020,11:20:31 PM,3,0.007
10/9/2020,11:28:04 PM,3,0.001
10/10/2020,1:16:45 AM,3,0.012
10/10/2020,1:27:39 AM,3,0.326
10/10/2020,1:44:50 AM,3,0.003
10/10/2020,1:51:17 AM,3,0.004
10/10/2020,1:55:14 AM,3,0.258
10/10/2020,2:20:45 AM,3,0.006
10/10/2020,2:46:41 AM,3,0.926
10/10/2020,3:12:55 AM,3,0.002
10/10/2020,3:38:23 AM,3,0.008
10/10/2020,6:57:36 AM,3,0.028
10/10/2020,1:54:58 PM,3,0.006
10/10/2020,2:11:00 PM,3,0.018
10/10/2020,3:14:12 PM,3,0.006
10/10/2020,9:30:31 PM,3,0.003
10/10/2020,9:41:36 PM,3,0.005
10/10/2020,10:01:45 PM,3,0.012
10/10/2020,10:41:33 PM,3,0.017
10/10/2020,11:00:13 PM,3,0.018
10/10/2020,11:06:34 PM,3,0.001
10/10/2020,11:54:41 PM,3,0.015
10/11/2020,12:05:25 AM,3,0.004
10/11/2020,12:22:19 AM,3,0.01
10/11/2020,12:26:09 AM,3,0.008
10/11/2020,1:03:11 AM,3,0.018
10/11/2020,1:38:52 AM,3,0.013
10/11/2020,1:44:46 AM,3,0.011
10/11/2020,2:00:34 AM,3,0.021
